Model,Accuracy,F1-score (macro)
Random Forest,0.8584444444444445,0.819120600976324
Gradient Boosting,0.8544444444444445,0.8190919528199682
Logistic Regression,0.8304444444444444,0.7721984548549163
Naive Bayes,0.47933333333333333,0.4430044814438481
